Company,Location HQ,Industry,# Laid Off,%,Date,Source,$ Raised (mm),Stage,Date Added,Country,List of Employees Laid Off
Guidewire,SF Bay Area,Finance,,0.02,2022-08-11T00:00:00.000Z,Internal memo,24,Post-IPO,2022-08-12T17:58:53.000Z,United States,
Trybe,"Sao Paulo,Non-U.S.",Education,47,0.1,2022-08-10T00:00:00.000Z,https://startups.com.br/noticias/edtech-trybe-enxuga-operacoes-e-corta-10-do-time/,40,Series B,2022-08-24T23:33:24.000Z,Brazil,
Permutive,"London,Non-U.S.",Marketing,30,0.12,2022-08-10T00:00:00.000Z,https://www.businessinsider.com/permutive-lays-off-12-of-staffers-amid-economic-downturn-2022-8,105,Series C,2022-08-10T21:55:40.000Z,United Kingdom,
Homeward,Austin,Real Estate,,0.2,2022-08-10T00:00:00.000Z,https://www.realtrends.com/articles/homeward-lays-off-20-of-workforce/,160,Series B,2022-08-10T21:57:12.000Z,United States,
Pollen,"London,Non-U.S.",Marketing,,1,2022-08-10T00:00:00.000Z,https://sifted.eu/articles/pollen-administration-restructuring/,238,Series C,2022-08-10T21:58:34.000Z,United Kingdom,
Vedanta Biosciences,Boston,Healthcare,,0.2,2022-08-10T00:00:00.000Z,https://www.fiercebiotech.com/biotech/vedanta-ceo-blames-challenging-environment-biotech-laying-20-staff,301,Series D,2022-08-17T20:10:33.000Z,United States,
GoHealth,Chicago,Healthcare,800,0.2,2022-08-09T00:00:00.000Z,https://www.chicagobusiness.com/technology/gohealth-lays-800-workers-online-health-insurance-seller-cuts-back,75,Post-IPO,2022-08-11T21:31:33.000Z,United States,
Hootsuite,"Vancouver,Non-U.S.",Marketing,400,0.3,2022-08-09T00:00:00.000Z,https://betakit.com/hootsuite-restructuring-laying-off-30-percent-of-employees/,300,Series C,2022-08-09T17:35:53.000Z,Canada,
Nutanix,SF Bay Area,Infrastructure,270,0.04,2022-08-09T00:00:00.000Z,https://www.marketscreener.com/quote/stock/NUTANIX-INC-31497437/news/NUTANIX-INC-Costs-Associated-with-Exit-or-Disposal-Activities-form-8-K-41257917/,1100,Post-IPO,2022-08-09T21:51:10.000Z,United States,
Quanterix,Boston,Healthcare,130,0.25,2022-08-09T00:00:00.000Z,https://www.genomeweb.com/business-news/quanterix-slashing-workforce-25-percent-it-refocuses-commercial-efforts#.Y3J8V-zMK8B,533,Post-IPO,2022-11-17T04:38:06.000Z,United States,
Wix,"Tel Aviv,Non-U.S.",Marketing,100,,2022-08-09T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/b1icqik0c,58,Post-IPO,2022-08-09T14:34:51.000Z,Israel,
MadeiraMadeira,"Curitiba,Non-U.S.",Retail,60,0.03,2022-08-09T00:00:00.000Z,https://www.estadao.com.br/link/inovacao/unicornio-madeiramadeira-demite-60-pessoas-em-busca-de-ganho-de-eficiencia/,338,Series E,2022-08-09T21:54:09.000Z,Brazil,
Melio,New York City,Finance,60,,2022-08-09T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/b1kyowlaq,504,Series D,2022-08-09T18:30:37.000Z,United States,
Linktree,"Melbourne,Non-U.S.",Consumer,50,0.17,2022-08-09T00:00:00.000Z,https://www.smartcompany.com.au/industries/information-technology/linktree-sacks-employees-tech/,165,Unknown,2022-08-09T14:33:49.000Z,Australia,
Shogun,SF Bay Area,Retail,48,0.3,2022-08-09T00:00:00.000Z,Internal memo,114,Series C,2022-08-10T15:22:27.000Z,United States,
Absci,"Vancouver,Non-U.S.",Healthcare,40,,2022-08-09T00:00:00.000Z,https://www.absci.com/message-from-ceo-08-09-2022/,237,Post-IPO,2022-08-10T04:07:56.000Z,United States,
Dooly,"Vancouver,Non-U.S.",Sales,12,,2022-08-09T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:6962892415028387840/,102,Series B,2022-08-10T15:24:31.000Z,Canada,
Berkeley Lights,SF Bay Area,Healthcare,,0.12,2022-08-09T00:00:00.000Z,https://investors.berkeleylights.com/news/news-details/2022/Berkeley-Lights-Reports-Second-Quarter-2022-Financial-Results/default.aspx,272,Post-IPO,2022-08-09T21:53:12.000Z,United States,
DailyPay,New York City,Finance,,0.15,2022-08-09T00:00:00.000Z,Internal memo,814,Unknown,2022-08-10T22:41:23.000Z,United States,
Haus,SF Bay Area,Food,,1,2022-08-09T00:00:00.000Z,https://techcrunch.com/2022/08/08/haus-a-vc-backed-apertif-startup-is-up-for-sale-after-series-a-falls-through/,7,Seed,2022-08-10T00:49:00.000Z,United States,
Kaltura,New York City,Media,,0.1,2022-08-09T00:00:00.000Z,https://en.globes.co.il/en/article-kaltura-laying-off-10-of-workforce-1001420938,166,Post-IPO,2022-08-09T14:45:29.000Z,United States,
Shift,SF Bay Area,Transportation,,,2022-08-09T00:00:00.000Z,https://www.globenewswire.com/news-release/2022/08/09/2495362/0/en/Shift-Announces-Merger-with-CarLotz-a-New-Business-Plan-that-Enables-the-Company-to-Achieve-Profitability-in-2024-Appointment-of-new-CEO-also-Releases-Q2-Results.html,504,Post-IPO,2022-08-09T21:49:31.000Z,United States,
Sweetgreen,Los Angeles,Food,,,2022-08-09T00:00:00.000Z,https://www.cnbc.com/2022/08/09/sweetgreen-stock-plummets-after-salad-chain-cuts-forecast-announces-layoffs.html,478,Post-IPO,2022-08-09T21:47:18.000Z,United States,
Groupon,Chicago,Retail,500,0.15,2022-08-08T00:00:00.000Z,https://techcrunch.com/2022/08/08/groupon-cuts-over-500-staff-as-the-downturn-takes-its-tolll/,1400,Post-IPO,2022-08-08T21:36:51.000Z,United States,
Loggi,"Sao Paulo,Non-U.S.",Logistics,500,0.15,2022-08-08T00:00:00.000Z,https://startups.com.br/noticias/na-onda-dos-layoffs-loggi-demite-cerca-de-15-da-sua-forca-de-trabalho/,507,Series F,2022-08-09T14:40:05.000Z,Brazil,
Vroom,New York City,Transportation,337,,2022-08-08T00:00:00.000Z,https://www.autonews.com/dealers/vroom-earnings-q2-net-loss-1151-million-used-car-retailer-cuts-jobs,1300,Post-IPO,2022-08-09T14:44:58.000Z,United States,
Warby Parker,New York City,Consumer,63,,2022-08-08T00:00:00.000Z,https://www.businessinsider.com/warby-parker-lays-off-63-corporate-employees-internal-memo-2022-8,535,Post-IPO,2022-08-09T14:37:26.000Z,United States,
Labelbox,SF Bay Area,Data,36,,2022-08-08T00:00:00.000Z,Internal memo,188,Series D,2022-08-11T13:31:20.000Z,United States,
Perion,"Tel Aviv,Non-U.S.",Marketing,20,0.05,2022-08-08T00:00:00.000Z,https://en.globes.co.il/en/article-perion-network-lays-off-20-transfers-us-activities-to-israel-1001420801,76,Post-IPO,2022-08-08T14:15:39.000Z,Israel,
Daily Harvest,New York City,Food,,0.15,2022-08-08T00:00:00.000Z,https://fortune.com/2022/08/08/daily-harvest-layoffs-lentil-crumbles-recall/,120,Series D,2022-08-10T23:08:28.000Z,United States,
DataRobot,Boston,Data,,,2022-08-08T00:00:00.000Z,https://www.bostonglobe.com/2022/08/08/business/amid-struggles-datarobot-cutting-more-staff/,1000,Series G,2022-08-11T13:29:09.000Z,United States,
iRobot,Boston,Consumer,140,0.1,2022-08-05T00:00:00.000Z,https://www.geekwire.com/2022/amazon-to-acquire-roomba-maker-irobot-for-1-7-billion/,30,Acquired,2022-08-05T19:28:04.000Z,United States,
Mejuri,"Toronto,Non-U.S.",Retail,50,0.1,2022-08-05T00:00:00.000Z,https://betakit.com/d2c-startups-not-immune-to-downturn-as-article-mejuri-make-staff-cuts/,28,Series B,2022-08-08T21:33:38.000Z,Canada,
Uberflip,"Toronto,Non-U.S.",Marketing,31,0.17,2022-08-05T00:00:00.000Z,https://betakit.com/uberflip-ceo-attributes-company-layoffs-to-unsteady-economy/,42,Series A,2022-08-05T19:18:41.000Z,Canada,
Slync,Dallas,Logistics,,,2022-08-05T00:00:00.000Z,https://www.businessinsider.com/slync-layoffs-ceo-fired-kirchner-supply-chain-tech-goldman-2022-8,76,Series B,2022-08-23T03:36:42.000Z,United States,
Talkdesk,SF Bay Area,Support,,,2022-08-05T00:00:00.000Z,https://eco.sapo.pt/2022/08/05/onda-de-despedimentos-nas-tech-chega-a-unicornio-talkdesk/,497,Series D,2022-08-05T19:39:08.000Z,United States,
Doma,SF Bay Area,Finance,250,0.13,2022-08-04T00:00:00.000Z,https://www.inman.com/2022/08/19/doma-announces-more-layoffs-as-cumulative-losses-top-300m/amp/,679,Post-IPO,2022-08-05T19:22:32.000Z,United States,
Article,"Vancouver,Non-U.S.",Retail,216,0.17,2022-08-04T00:00:00.000Z,https://dailyhive.com/vancouver/vancouver-article-layoffs,,Series B,2022-08-04T23:33:42.000Z,Canada,
Jam City,Los Angeles,Consumer,200,0.17,2022-08-04T00:00:00.000Z,https://venturebeat.com/2022/08/04/jam-city-lays-off-hundreds-of-staff-as-part-of-restructuring/,652,Unknown,2022-08-04T23:35:47.000Z,United States,
10X Genomics,SF Bay Area,Healthcare,100,0.08,2022-08-04T00:00:00.000Z,https://www.genomeweb.com/business-news/10x-genomics-lays-approximately-100-employees#.YuxWk-zMKqV,242,Post-IPO,2022-08-04T23:30:40.000Z,United States,
LEAD,"Mumbai,Non-U.S.",Education,80,0.04,2022-08-04T00:00:00.000Z,https://www.moneycontrol.com/news/business/startup/school-edtech-unicorn-lead-lets-go-of-about-100-employees-8954821.html,166,Series E,2022-08-04T19:02:25.000Z,India,
Zendesk,SF Bay Area,Support,80,,2022-08-04T00:00:00.000Z,Internal memo,85,Acquired,2022-08-05T03:18:34.000Z,United States,
On Deck,SF Bay Area,Education,73,0.33,2022-08-04T00:00:00.000Z,https://techcrunch.com/2022/08/04/on-deck-lays-off-a-third-of-staff-after-cutting-a-quarter-just-months-prior/,20,Series A,2022-08-04T19:07:23.000Z,United States,
RenoRun,"Montreal,Non-U.S.",Construction,70,0.12,2022-08-04T00:00:00.000Z,https://betakit.com/renorun-lays-off-12-percent-of-staff-pauses-geographic-expansion-amid-uncertainty-surrounding-consumer-spending/,163,Series B,2022-08-17T18:27:14.000Z,Canada,
